Part No.,Nominal cross section mm²,Stud hole,Kind of connection,Connecting material,IEC Certification,UL Certification,DNV-GL Certification,Cable Class 1,Cable Class 2,Cable Class 5,Cable Class 6,K50 Serie,K4 serie,K22 Serie,K13 Serie,K15 Serie,K25 Serie,K5,K05,K06,K95,K09,K02,K2,K93,K94,EK30IDML,EK60VP,EKM60ID,EK60VPFT,EK120ID,Image URL
2R10MS,10,10,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
2R12,10,12,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/87EB606C-CCEC-489D-9C66-A77C2D6F9802
2R12MS,10,12,Cable lug,"Tubular cable lugs, CU, standard type with and without inspection hole",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/333CE33E-4224-4A60-80AF-4B4773C4AA9D
42R545,10,5,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
42R645,10,6,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
42R845,10,8,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
42R1045,10,10,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
42R1245,10,12,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,x,,,x,x,x,,,,x,x,x,,,,x,,,x,x,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
42R545,10,5,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
42R645,10,6,Cable lug,"Angled tubular cable lugs, Cu, 45° angled, standard type",x,x,x,,,x,,,,,,,,,,,,,,,,,x,,x,,,https://cdn.klauke.com/resources/images/3660B15C-AE6F-448B-B92E-0F6B3A36D229
